,METFN3 1GQ
2016-01-25,8882.0
2016-01-26,8675.0
2016-01-29,8675.0
2016-02-04,8675.0
2016-02-05,8645.0
2016-02-16,8645.0
2016-02-19,8645.0
2016-02-22,8574.5
2016-02-23,8574.5
2016-02-26,8529.0
2016-02-29,8529.0
2016-03-02,8529.0
2016-03-03,8574.5
2016-03-04,8574.5
2016-03-07,8554.5
2016-03-08,8554.5
2016-03-09,8554.5
2016-03-16,8554.5
2016-03-17,8554.5
2016-03-18,8554.5
2016-03-21,8504.5
2016-03-22,8509.0
2016-03-24,8554.5
2016-03-28,8521.0
2016-03-29,8521.0
2016-03-30,8554.5
2016-03-31,8588.0
2016-04-04,8825.0
2016-04-05,8825.0
2016-04-14,8825.0
2016-04-15,8825.0
2016-04-18,8825.0
2016-04-19,8825.0
2016-04-20,8825.0
2016-04-21,8825.0
2016-04-22,8812.5
2016-04-27,8812.5
2016-04-28,8812.5
2016-04-29,8912.5
2016-05-02,8950.0
2016-05-03,8950.0
2016-05-04,8950.0
2016-05-06,8975.0
2016-05-09,8975.0
2016-05-11,8975.0
2016-05-13,8975.0
2016-05-17,8975.0
2016-05-19,8975.0
2016-05-20,8975.0
2016-05-23,8950.0
2016-05-24,8950.0
2016-05-25,8950.0
2016-05-26,8950.0
2016-05-27,8950.0
2016-05-31,8950.0
2016-06-01,8950.0
2016-06-02,8950.0
2016-06-03,8950.0
2016-06-07,8950.0
2016-06-08,8950.0
2016-06-10,8950.0
2016-06-13,8950.0
2016-06-14,8950.0
2016-06-15,8950.0
2016-06-16,8950.0
2016-06-17,8950.0
2016-06-23,8950.0
2016-06-27,8950.0
2016-06-29,8950.0
2016-06-30,8950.0
2016-07-01,9200.0
2016-07-05,9200.0
2016-07-06,9200.0
2016-07-07,9200.0
2016-07-11,9200.0
2016-07-12,9200.0
2016-07-15,9277.0
2016-07-18,9277.0
2016-07-19,9277.0
2016-07-20,9277.0
2016-07-26,9277.0
2016-07-27,9277.0
2016-07-28,9277.0
2016-07-29,9277.0
2016-08-01,9277.0
2016-08-04,9314.5
2016-08-05,9500.0
2016-08-08,9500.0
2016-08-09,9500.0
2016-08-11,9500.0
2016-08-12,9551.0
2016-08-16,9551.0
2016-08-17,9750.0
2016-08-18,9750.0
2016-08-19,9750.0
2016-08-23,9750.0
2016-08-24,10000.0
2016-08-25,10000.0
2016-08-29,10100.0
2016-09-01,10006.0
2016-09-02,10006.0
2016-09-06,10006.0
2016-09-07,10006.0
2016-09-08,10006.0
